timeCo2;ppm
313000;243.2645692
314000;248.7415053
315000;253.1957153
316000;255.7204685
317000;256.2915312
318000;253.0148145
319000;247.2049625
320000;245.3194734
321000;248.3900454
322000;252.2511895
323000;256.1582009
324000;258.9991674
325000;260.802045
326000;262.7004447
327000;264.8888758
328000;267.2841432
329000;269.6415706
330000;270.8342661
331000;270.7602537
332000;272.678363
333000;277.6160162
334000;282.7744667
335000;285.1386334
336000;282.5791595
337000;274.7897196
338000;263.1228573
339000;250.6230279
340000;242.0645149
341000;238.7909027
342000;236.5256543
343000;226.8091582
344000;214.4093946
345000;207.2977469
346000;206.4687298
347000;209.0482573
348000;213.1678531
349000;217.1795955
350000;219.6103969
351000;220.0552526
352000;218.533491
353000;215.6812546
354000;212.5868201
355000;210.4219989
356000;209.1122002
357000;205.0790527
358000;195.6443483
359000;191.4804728
360000;189.0603632
361000;187.0531003
362000;186.3500944
363000;187.9943647
364000;194.2741198
365000;199.759248
366000;202.0562131
367000;204.6775517
368000;205.9675307
369000;205.6199638
370000;203.3379399
371000;201.8911611
372000;201.4571129
373000;202.1618371
374000;205.9748131
375000;212.228964
376000;218.518175
377000;223.5652583
378000;226.7891833
379000;228.5346092
380000;229.1245054
381000;228.253065
382000;228.5084022
383000;230.9209496
384000;234.9164445
385000;238.3650118
386000;240.4547018
387000;242.8311841
388000;245.0535728
389000;246.0613002
390000;247.8604075
391000;254.7001985
392000;259.867996
393000;262.643942
394000;264.7424415
395000;265.1094138
396000;265.6969301
397000;272.4900897
398000;276.4572218
399000;277.9083324
4.00E+05;279.5342879
401000;280.6087758
402000;280.1581492
403000;278.7841987
404000;278.2350702
405000;279.0947605
406000;280.737683
407000;282.2339092
408000;282.356246
409000;281.1403711
410000;280.7030674
411000;281.0179058
412000;279.0411681
413000;273.7997437
414000;271.0422454
415000;271.4899417
416000;272.6792761
417000;273.1120791
418000;273.1625344
419000;273.0763463
420000;272.5293654
421000;271.2003393
422000;269.5289267
423000;268.7629018
424000;268.5976013
425000;267.9954797
426000;265.8472185
427000;261.1098677
428000;254.1837849
429000;247.0790838
430000;237.9186019
431000;227.5587874
432000;222.2334228
433000;216.816022
434000;211.8307149
435000;209.743298
436000;208.9295487
437000;207.5372291
438000;204.9772619
439000;202.4437634
440000;201.4402557
441000;201.4249017
442000;201.4795492
443000;201.4542793
444000;201.057083
